zone,date,pred,lat,lon,junction_name,police_station
192_158,2024-04-09,0.42,12.959187528571428,77.5192174547619,No Junction,Byatarayanapura
191_300,2024-04-09,1.15,12.958313760714285,77.71567921785714,No Junction,HAL Old Airport
191_290,2024-04-09,1.98,12.95789177787234,77.70103575723404,No Junction,HAL Old Airport
185_289,2024-04-09,4.76,12.949962055908076,77.69972926813232,No Junction,HAL Old Airport
185_302,2024-04-09,0.62,12.950234032000001,77.71767584,No Junction,Whitefield
186_160,2024-04-09,0.46,12.950971502564101,77.52180297179487,No Junction,Byatarayanapura
186_173,2024-04-09,0.52,12.951652820454546,77.54010656022727,BTP096 - Gali Anjaneya Temple,Byatarayanapura
186_200,2024-04-09,0.98,12.951660676119403,77.57690980597015,BTP106 - VV Puram College,V.V.Puram (C.Pet)
186_210,2024-04-09,0.42,12.951458658181817,77.59060585272728,BTP121 - KH Circle,Wilson Garden
186_222,2024-04-09,0.73,12.95158401372549,77.60761836470589,BTP132 - Anepalya Junction,Ashok Nagar
186_289,2024-04-09,0.88,12.95139156086047,77.69988819686169,No Junction,HAL Old Airport
186_301,2024-04-09,1.6,12.951595241818183,77.71743534945455,No Junction,Whitefield
187_174,2024-04-09,3.12,12.952468752648432,77.54116058271528,BTP096 - Gali Anjaneya Temple,Byatarayanapura
187_175,2024-04-09,0.42,12.953209610002485,77.54206630619117,BTP096 - Gali Anjaneya Temple,Byatarayanapura
187_210,2024-04-09,0.42,12.952465816129031,77.59077697419355,BTP121 - KH Circle,Wilson Garden
187_289,2024-04-09,1.12,12.952347732558305,77.70010159420109,No Junction,HAL Old Airport
188_175,2024-04-09,2.04,12.95361742639057,77.54275343070033,"BTP095 - Satellite Bus Stand, Mysore Road",Byatarayanapura
188_176,2024-04-09,1.53,12.953907021092286,77.5436154224197,"BTP095 - Satellite Bus Stand, Mysore Road",Byatarayanapura
185_288,2024-04-09,0.54,12.949861470114943,77.69935703218391,No Junction,HAL Old Airport
185_160,2024-04-09,0.61,12.950327030769232,77.52210537115386,No Junction,Byatarayanapura
184_288,2024-04-09,1.31,12.948435680368702,77.69931521733761,No Junction,HAL Old Airport
184_215,2024-04-09,1.83,12.948831318181819,77.59794389393939,"BTP123 - 10th Cross, Wilson Garden",Wilson Garden
181_214,2024-04-09,1.08,12.94470293414634,77.59708028780489,"BTP123 - 10th Cross, Wilson Garden",Wilson Garden
181_287,2024-04-09,0.42,12.944376362626263,77.69769627070707,No Junction,HAL Old Airport
181_288,2024-04-09,0.42,12.944876915789473,77.6984389245614,No Junction,HAL Old Airport
182_165,2024-04-09,0.42,12.94572344,77.52875594333334,BTP098 - Nayandahalli Junction,Byatarayanapura
182_195,2024-04-09,0.66,12.945975603181356,77.57046441903664,BTP215 - Vanivillas Junction,Basavanagudi
182_196,2024-04-09,1.96,12.945424179765446,77.57124091323105,BTP215 - Vanivillas Junction,Basavanagudi
182_208,2024-04-09,1.51,12.946258288172045,77.58801931612904,No Junction,Wilson Garden
188_205,2024-04-09,1.23,12.954152080582524,77.58401160194174,BTP120 - Lalbagh Main Gate Junction,City Market
182_213,2024-04-09,0.69,12.945622483333333,77.59530335222222,"BTP123 - 10th Cross, Wilson Garden",Wilson Garden
183_169,2024-04-09,0.42,12.947737087179487,77.53419611538462,No Junction,Byatarayanapura
183_202,2024-04-09,0.66,12.947688113333333,77.57986167555556,BTP184 - Lalbagh West Gate,Basavanagudi
183_210,2024-04-09,0.8,12.947160726760565,77.59081723943662,BTP122 - Siddapura Junction,Wilson Garden
183_288,2024-04-09,1.06,12.947170866302386,77.69891731989728,No Junction,HAL Old Airport
184_196,2024-04-09,0.42,12.94855279,77.57223849333333,BTP107 - National College Junction,V.V.Puram (C.Pet)
184_200,2024-04-09,0.52,12.949004392105264,77.57704737894737,BTP193 - Vasavi Circle,V.V.Puram (C.Pet)
184_202,2024-04-09,1.02,12.948216254615383,77.57999664769231,BTP184 - Lalbagh West Gate,Basavanagudi
182_287,2024-04-09,0.42,12.945522737704918,77.69802047868852,No Junction,HAL Old Airport
196_198,2024-04-09,3.06,12.964769294040424,77.57447134898626,"BTP083 - AS Char Street, Mysore Road",City Market
188_206,2024-04-09,0.66,12.954296977941176,77.58540994558824,BTP120 - Lalbagh Main Gate Junction,Wilson Garden
188_210,2024-04-09,0.47,12.954063003773586,77.5911918490566,BTP103 - Shanti Nagar TTMC,Wilson Garden
190_295,2024-04-09,0.59,12.95660676231884,77.70867527681159,No Junction,HAL Old Airport
190_300,2024-04-09,0.78,12.95677535896651,77.7150869648054,No Junction,HAL Old Airport
190_312,2024-04-09,0.42,12.956379508695651,77.73215894202899,No Junction,Whitefield
191_158,2024-04-09,0.75,12.958036726767677,77.51904951969696,No Junction,Byatarayanapura
191_183,2024-04-09,0.46,12.958055963333333,77.55380975333334,"BTP093 - Toll Gate, Mysore Road",Chamarajpet
191_193,2024-04-09,0.42,12.958001531775702,77.56735305700934,BTP214 - 5th Main Chamrajpet  Junction,Chamarajpet
191_196,2024-04-09,0.43,12.958146285714285,77.57199975428571,BTP105 - Shivasankara Circle,V.V.Puram (C.Pet)
191_200,2024-04-09,0.42,12.958104220149254,77.57759774477611,BTP118 - Basappa Circle,City Market
191_203,2024-04-09,0.76,12.957903469911505,77.58138685044248,BTP167 - JC Road Junction,City Market
191_204,2024-04-09,0.54,12.958015477777778,77.58229187094017,BTP167 - JC Road Junction,City Market
191_207,2024-04-09,0.89,12.958153755284552,77.58641722601627,BTP192 - Urvashi Theater,Wilson Garden
191_249,2024-04-09,0.72,12.958222167741937,77.64514959892473,No Junction,Jeevanbheemanagar
191_252,2024-04-09,0.55,12.958528768421052,77.64947684473684,No Junction,Jeevanbheemanagar
191_266,2024-04-09,2.6,12.958296342236023,77.66839718819875,No Junction,HAL Old Airport
191_289,2024-04-09,0.48,12.95768139,77.70093188785715,No Junction,HAL Old Airport
190_292,2024-04-09,0.51,12.956687975641026,77.70397088974359,No Junction,HAL Old Airport
190_291,2024-04-09,1.75,12.956838196819984,77.70306861075188,No Junction,HAL Old Airport
190_290,2024-04-09,1.91,12.956964933494294,77.70141736398205,No Junction,HAL Old Airport
190_289,2024-04-09,0.61,12.95701813015873,77.7007487468254,No Junction,HAL Old Airport
188_211,2024-04-09,0.42,12.954068288636364,77.59265881136363,BTP103 - Shanti Nagar TTMC,Wilson Garden
189_157,2024-04-09,0.55,12.955831304761906,77.51842763333333,No Junction,Byatarayanapura
189_158,2024-04-09,0.5,12.95583635,77.5186476673913,No Junction,Byatarayanapura
189_177,2024-04-09,0.46,12.955593054000001,77.545777636,"BTP094 - Sri Skanda Complex, Mysore Road",Byatarayanapura
189_178,2024-04-09,0.42,12.955760836170212,77.54625801702127,"BTP094 - Sri Skanda Complex, Mysore Road",Byatarayanapura
189_202,2024-04-09,0.51,12.95528486146789,77.57990284954128,BTP119 - Minerva Circle,City Market
189_206,2024-04-09,2.3,12.955194876025235,77.58564008012618,BTP192 - Urvashi Theater,Wilson Garden
188_209,2024-04-09,0.42,12.954303867499998,77.58994444,BTP103 - Shanti Nagar TTMC,Wilson Garden
189_211,2024-04-09,0.42,12.955046935185184,77.5925767425926,"BTP102 - BMTC Junction, KH Road",Wilson Garden
190_158,2024-04-09,1.3,12.956688653370787,77.51869616573035,No Junction,Byatarayanapura
190_198,2024-04-09,0.42,12.95685266716418,77.57489920447762,BTP105 - Shivasankara Circle,V.V.Puram (C.Pet)
190_199,2024-04-09,0.91,12.956756418333333,77.57544979,BTP105 - Shivasankara Circle,V.V.Puram (C.Pet)
190_200,2024-04-09,0.66,12.956763181632653,77.57735740340136,BTP118 - Basappa Circle,City Market
190_203,2024-04-09,0.56,12.956688760526315,77.58117295,BTP167 - JC Road Junction,City Market
190_206,2024-04-09,0.42,12.956881224561403,77.58603353333334,BTP192 - Urvashi Theater,Wilson Garden
190_288,2024-04-09,0.61,12.956956385778316,77.69911448043159,No Junction,HAL Old Airport
189_302,2024-04-09,0.51,12.955739699999999,77.718428975,No Junction,Whitefield
196_199,2024-04-09,16.93,12.964616258392352,77.57611555279746,BTP082 - KR Market Junction,City Market
196_200,2024-04-09,17.34,12.96441892858199,77.57710626583115,BTP082 - KR Market Junction,City Market
196_201,2024-04-09,3.46,12.964420699387027,77.57855671329675,BTP082 - KR Market Junction,City Market
202_172,2024-04-09,1.37,12.972904199812385,77.53822824258464,BTP028 - Vijayanagar Bus Stand Junction,Vijayanagara
202_173,2024-04-09,0.42,12.973439673557092,77.53965259256529,BTP028 - Vijayanagar Bus Stand Junction,Vijayanagara
202_178,2024-04-09,0.69,12.972586437209303,77.54724531046512,BTP069 - MC Circle,Magadi Road
202_180,2024-04-09,1.65,12.973385168032788,77.54998796311476,"BTP070 - Cholurpalya Junction, Magadi Road",Magadi Road
202_181,2024-04-09,7.3,12.973432191798345,77.55101388081263,"BTP070 - Cholurpalya Junction, Magadi Road",Magadi Road
202_200,2024-04-09,2.36,12.973059905730961,77.57743345229285,BTP044 - Sagar Theatre Junction,City Market
202_201,2024-04-09,12.85,12.973080058873787,77.57888757681553,BTP044 - Sagar Theatre Junction,Upparpet
202_202,2024-04-09,1.79,12.9731564041779,77.57972311266847,BTP038 - Mysore Bank Junction,Upparpet
202_203,2024-04-09,2.08,12.972879181453635,77.58114203007518,BTP038 - Mysore Bank Junction,Upparpet
202_212,2024-04-09,0.48,12.972340683333332,77.59387917857143,BTP063 - Siddalingaiah Circle,Cubbon Park
202_217,2024-04-09,0.42,12.973017114285716,77.60049395428571,No Junction,Cubbon Park
202_222,2024-04-09,0.97,12.972722110285714,77.60739482285715,No Junction,Ashok Nagar
202_223,2024-04-09,0.42,12.973230666101696,77.60925959661017,No Junction,Ashok Nagar
202_224,2024-04-09,0.46,12.973239826086957,77.61080327391305,No Junction,Ashok Nagar
202_227,2024-04-09,0.77,12.973237079695433,77.6148438781726,No Junction,Halasur
202_171,2024-04-09,0.99,12.972562298571429,77.53766025142858,BTP028 - Vijayanagar Bus Stand Junction,Vijayanagara
201_298,2024-04-09,2.08,12.971248909851235,77.71218332356523,No Junction,HAL Old Airport
201_297,2024-04-09,1.76,12.971880926783912,77.71171732202912,No Junction,HAL Old Airport
201_259,2024-04-09,1.35,12.971693355950267,77.658185742984,No Junction,Jeevanbheemanagar
201_202,2024-04-09,0.42,12.971994693023255,77.5804564372093,BTP038 - Mysore Bank Junction,Upparpet
201_203,2024-04-09,0.78,12.9720016,77.58084176666667,BTP038 - Mysore Bank Junction,Upparpet
201_211,2024-04-09,0.63,12.971140456756757,77.59278961351352,BTP063 - Siddalingaiah Circle,Halasuru Gate
201_212,2024-04-09,0.71,12.971619549090908,77.59378383272727,BTP063 - Siddalingaiah Circle,Cubbon Park
201_213,2024-04-09,0.42,12.971606152173914,77.59527063478261,BTP063 - Siddalingaiah Circle,Cubbon Park
201_214,2024-04-09,0.64,12.971198913999999,77.5967481145,BTP063 - Siddalingaiah Circle,Cubbon Park
201_215,2024-04-09,3.16,12.971407937037037,77.59778603688889,BTP063 - Siddalingaiah Circle,Cubbon Park
202_228,2024-04-09,0.83,12.973257471134021,77.61577334707903,No Junction,Halasur
201_220,2024-04-09,0.42,12.971105737837837,77.60530232972974,No Junction,Ashok Nagar
201_222,2024-04-09,0.59,12.971687594252577,77.607330337,No Junction,Ashok Nagar
201_227,2024-04-09,0.42,12.971392070967742,77.6150123419355,No Junction,Halasur
201_230,2024-04-09,1.32,12.971421884302327,77.61823785552325,No Junction,Halasur
201_235,2024-04-09,0.42,12.97207816904762,77.62565327142858,No Junction,Halasur
201_238,2024-04-09,0.42,12.971562426470587,77.6299857,No Junction,Halasur
201_251,2024-04-09,0.75,12.971149788684475,77.6473549607301,No Junction,Jeevanbheemanagar
201_258,2024-04-09,2.2,12.971740339441151,77.6580333624578,No Junction,Jeevanbheemanagar
201_221,2024-04-09,0.44,12.971406580373833,77.60637468411214,No Junction,Ashok Nagar
201_200,2024-04-09,0.64,12.971810878488371,77.5767577238372,BTP044 - Sagar Theatre Junction,City Market
202_229,2024-04-09,0.9,12.972944388068184,77.61712788863636,No Junction,Halasur
202_231,2024-04-09,0.94,12.972904964575118,77.62008657838773,No Junction,Halasur
203_202,2024-04-09,2.3,12.973611934640523,77.57941368278867,BTP044 - Sagar Theatre Junction,Upparpet
203_203,2024-04-09,0.49,12.973937901086957,77.58162338369566,BTP038 - Mysore Bank Junction,Upparpet
203_204,2024-04-09,0.42,12.973838310638298,77.58283657659575,BTP038 - Mysore Bank Junction,Halasuru Gate
203_219,2024-04-09,0.42,12.974486783870969,77.60338390645161,No Junction,Cubbon Park
203_221,2024-04-09,0.73,12.974475864999999,77.60635237,No Junction,Cubbon Park
203_222,2024-04-09,1.51,12.974405116698703,77.60766465389031,No Junction,Ashok Nagar
203_223,2024-04-09,0.63,12.974037262992127,77.60928555039371,No Junction,Ashok Nagar
203_224,2024-04-09,0.42,12.97428649090909,77.61078882727273,No Junction,Ashok Nagar
203_226,2024-04-09,0.46,12.973689521052632,77.61335364385964,No Junction,Halasur
203_227,2024-04-09,1.57,12.973802704878048,77.61450682512195,No Junction,Halasur
203_228,2024-04-09,0.49,12.973640945,77.6156348825,No Junction,Halasur
203_231,2024-04-09,0.64,12.974321408333335,77.62017236287879,No Junction,Halasur
203_233,2024-04-09,1.03,12.973839233061224,77.62317769102042,No Junction,Halasur
203_234,2024-04-09,0.61,12.974144666666666,77.6238093045045,No Junction,Halasur
203_235,2024-04-09,0.51,12.974513374908732,77.6255305117219,No Junction,Halasur
203_201,2024-04-09,9.04,12.973939468391213,77.57854878766832,BTP044 - Sagar Theatre Junction,Upparpet
203_200,2024-04-09,1.13,12.974506465053764,77.57745419731182,BTP044 - Sagar Theatre Junction,Upparpet
203_199,2024-04-09,0.68,12.974362180769232,77.57546336282051,BTP043 - Upparpet Junction,Upparpet
203_198,2024-04-09,1.53,12.974390307335907,77.57457134980694,BTP043 - Upparpet Junction,Upparpet
202_232,2024-04-09,0.42,12.97307878117647,77.62148785294117,No Junction,Halasur
202_233,2024-04-09,0.56,12.973383866666667,77.62250441290323,No Junction,Halasur
202_235,2024-04-09,0.46,12.972518488636364,77.6259967659091,No Junction,Halasur
202_236,2024-04-09,0.42,12.972770083333332,77.626585375,No Junction,Halasur
202_258,2024-04-09,0.42,12.972673802415628,77.65764255491787,No Junction,Jeevanbheemanagar
202_297,2024-04-09,0.42,12.972565604109588,77.71128526712329,No Junction,Mahadevapura
203_151,2024-04-09,0.53,12.974107381034482,77.50913078103449,No Junction,Jnanabharathi
202_230,2024-04-09,0.46,12.972462295061728,77.61849448888889,No Junction,Halasur
203_176,2024-04-09,0.78,12.973941236672967,77.54460265066163,BTP020 - Hosahalli Metro Station,Vijayanagara
203_178,2024-04-09,2.31,12.97442438688915,77.54678151579536,BTP069 - MC Circle,Vijayanagara
203_179,2024-04-09,3.25,12.974385934127548,77.54786439253196,BTP069 - MC Circle,Vijayanagara
203_180,2024-04-09,1.11,12.97385550795794,77.54957474671681,"BTP070 - Cholurpalya Junction, Magadi Road",Magadi Road
203_181,2024-04-09,6.26,12.973731326492537,77.55121899906717,"BTP070 - Cholurpalya Junction, Magadi Road",Magadi Road
203_182,2024-04-09,0.6,12.97421545,77.55180858645834,BTP071 - Prasanna Junction,Magadi Road
203_192,2024-04-09,0.54,12.97419048125,77.56624856250001,BTP074 - Leprosy Hospital Junction,Magadi Road
203_195,2024-04-09,0.45,12.974692722857142,77.57046312285715,BTP048 - Shanthala Junction,Chamarajpet
203_177,2024-04-09,5.92,12.974399145933015,77.54527605167463,BTP020 - Hosahalli Metro Station,Vijayanagara
181_213,2024-04-09,0.97,12.944966518216908,77.59492977672222,"BTP123 - 10th Cross, Wilson Garden",Wilson Garden
201_199,2024-04-09,0.76,12.971087507612717,77.57633921606326,BTP043 - Upparpet Junction,City Market
201_171,2024-04-09,1.31,12.971662838466154,77.53731436607808,BTP028 - Vijayanagar Bus Stand Junction,Vijayanagara
197_302,2024-04-09,0.87,12.966158067171717,77.71822786666667,No Junction,HAL Old Airport
198_170,2024-04-09,1.13,12.967559635395276,77.53603418659034,"BTP022 - Marenahalli Junction, Vijayanagar",Vijayanagara
198_175,2024-04-09,0.42,12.967097631818183,77.54286627045454,No Junction,Vijayanagara
198_177,2024-04-09,0.46,12.967577485294116,77.54512932058823,No Junction,Vijayanagara
198_195,2024-04-09,0.42,12.967609035555556,77.5701789,BTP085 - Briyand Circle,Chamarajpet
198_198,2024-04-09,1.64,12.967675171181938,77.57450220916334,"BTP083 - AS Char Street, Mysore Road",Chamarajpet
